lemma	upos	sense_id	definition
-e	ADV	6070ac2c19cad2110a6e719f@6070ac2c19cad2110a6e719f-0	Vagylagos kérdésben, rendsz. csak az első állítmány után kitéve, annak jelölésére, hogy vagy az első v. a második kérdésre igenlő feleletet várunk.
-e	ADV	6070ac2c19cad2110a6e719f@6070ac2c19cad2110a6e719f-1	Eldöntendő kérdésben, rendsz. annak kifejezője, hogy a mondat tartalmát egészében kérdésesnek, kétesnek tartjuk, a vajon, vaj kérdőszóval együtt v. önállóan.
-e	ADV	6070ac2c19cad2110a6e719f@6070ac2c19cad2110a6e719f-2	Egyszerű kérdésben annak jelölésére, hogy a kérdésre igenlő v. tagadó feleletet várunk; rendsz. az állítmányhoz simul.
-e	ADV	6070ac2c19cad2110a6e719f@6070ac2c19cad2110a6e719f-3	Olyan kérdésben, amelyre nem várunk feleletet, mert a felelet magától értetődő.
a	NOUN	6070ac2c19cad2110a6e71a8@6070ac2c19cad2110a6e71a8-0	ă] Ennek a beszédhangnak írott v. nyomtatott jele; a latin és a magyar ábécé első betűje; nyomtatott alakja: a, A.
a	NOUN	6070ac2c19cad2110a6e71a8@6070ac2c19cad2110a6e71a8-1	ă v. á] jelzői használat(ban) Felsorolásban, sorozatban, sorszámnév helyett, ha a sorozat többi tagját is az ábécé betűi jelölik: első.
a	NOUN	6070ac2c19cad2110a6e71a8@6070ac2c19cad2110a6e71a8-2	(sorszámnév után v. önállóan) Az a (A) betűvel megkülönböztetett osztály a szóban forgó iskolában.
a	NOUN	6070ac2c19cad2110a6e71a8@6070ac2c19cad2110a6e71a8-3	(sorszámnév után, alkalmi ráértéssel önállóan is) Az a v. A betűvel megkülönböztetett ház.
a	NOUN	6070ac2c19cad2110a6e71a8@6070ac2c19cad2110a6e71a8-4	A csapat v. A válogatott; A épület, lépcső, udvar; A-vitamin; a telekkönyv A lapja | a t-nek az a lapja, amely az ingatlan tárgyi adatait tünteti fel.
a	NOUN	6070ac2c19cad2110a6e71a8@6070ac2c19cad2110a6e71a8-5	A Váci utca 12/a v. 12/A alatt lakik | a 12/a-val v. 12/A-val jelzett házban lakik.
a	NOUN	6070ac2c19cad2110a6e71a8@6070ac2c19cad2110a6e71a8-6	A = A | a logikában annak a jele, hogy minden azonos önmagával.
a	NOUN	6070ac2c19cad2110a6e71a8@6070ac2c19cad2110a6e71a8-7	Írásbeli rövidítésül:
a	NOUN	6070ac2c19cad2110a6e71a8@6070ac2c19cad2110a6e71a8-8	a | ár (területmérték)
a	NOUN	6070ac2c19cad2110a6e71a8@6070ac2c19cad2110a6e71a8-9	a. | ajtószám alatt alsó
a	NOUN	6070ac2c19cad2110a6e71a8@6070ac2c19cad2110a6e71a8-10	a. (D) v. A. (D) | keltezésben: anno (Domini) (= évben)
a	NOUN	6070ac2c19cad2110a6e71a8@6070ac2c19cad2110a6e71a8-11	Beszédhang: ajakkerekítéssel képzett, alsó nyelvállású, hátul képzett rövid magánhangzó (pl. az ajak szó magánhangzói).
a	NOUN	6070ac2c19cad2110a6e71a8@6070ac2c19cad2110a6e71a8-12	A C-dúr hangsor hatodik, az a-moll hangsor első hangja.
a	NOUN	6070ac2c19cad2110a6e71a8@6070ac2c19cad2110a6e71a8-13	Normál a | a hangszerek hangolásának alaphangja, amelynek rezgésszáma másodpercenként 440; kamarahang
a	NOUN	6070ac2c19cad2110a6e71a8@6070ac2c19cad2110a6e71a8-14	A-dúr | az
a	NOUN	6070ac2c19cad2110a6e71a8@6070ac2c19cad2110a6e71a8-15	a-moll | az
a	NOUN	6070ac2c19cad2110a6e71a8@6070ac2c19cad2110a6e71a8-16	Ennek a hangnak írott v. nyomtatott jele, jelölése.
a	NOUN	6070ac2c19cad2110a6e71a8@6070ac2c19cad2110a6e71a8-17	Hangszeren az a hang megszólaltatására való billentyű (pl. zongorán) v. hely (pl. hegedű húrján).
abbahagy	VERB	6070ac2c19cad2110a6e71ad@6070ac2c19cad2110a6e71ad-0	Cselekvést, tevékenységet nem végez, nem folytat tovább; félbeszakít(ja), megszakít(ja) v. (hirtelen) véget vet neki.
ablak	NOUN	6070ac2c19cad2110a6e71b6@6070ac2c19cad2110a6e71b6-0	Épületek, lakóhelyiségek falában rendsz. üvegezett táblákkal elzárható nyílás a világosság és a friss levegő bebocsátására, ill. a külső, kellemetlen hatások (hideg, meleg, szél, eső, zaj stb.) kizárására.
ablak	NOUN	6070ac2c19cad2110a6e71b6@6070ac2c19cad2110a6e71b6-1	Ebbe a nyílásba beépített, fából v. vasból készült szerkezet, amely a falba erősített tokból v. keretből és az ebbe (rendsz. nyithatóan, csukhatóan) behelyezett szárnyakból (III. 3) áll.
ablak	NOUN	6070ac2c19cad2110a6e71b6@6070ac2c19cad2110a6e71b6-2	Hasonló rendeltetésű nyílás, ill. szerkezet vmely helyiség ajtaján v. járművön.
ablak	NOUN	6070ac2c19cad2110a6e71b6@6070ac2c19cad2110a6e71b6-3	Ablaküveg (1).
ablak	NOUN	6070ac2c19cad2110a6e71b6@6070ac2c19cad2110a6e71b6-4	szolgál; az ablakba tesz vmit; az ablakban | a szobában közvetlenül az ablak előtt áll, ül, van vki
ablak	NOUN	6070ac2c19cad2110a6e71b6@6070ac2c19cad2110a6e71b6-5	vkinek (lánynak, nőnek) az ablakára jár | a (nyitott) ablakban, az ablakon át szokott udvarolni neki
ablak	NOUN	6070ac2c19cad2110a6e71b6@6070ac2c19cad2110a6e71b6-6	Belső, külső, befelé nyíló, kifelé nyíló ablak; behajtott, (be)csukott, (ki)nyitott ablak; dupla v. kettős ablak; szimpla ablak; egyszárnyú, kétszárnyú, zsalugáteres ablak; az ablak félfája ; az ablak táblája ; az ablak közé tesz vmit | a külső és a belső ablaktábla közé
ablak	NOUN	6070ac2c19cad2110a6e71b6@6070ac2c19cad2110a6e71b6-7	Bélyegen a papír vékonysága v. kopottsága miatt áttetsző rész.
ablak	NOUN	6070ac2c19cad2110a6e71b6@6070ac2c19cad2110a6e71b6-8	Tanári órarendben be nem töltött óra, ill. annak rovata; lyukas óra.
ablak	NOUN	6070ac2c19cad2110a6e71b6@6070ac2c19cad2110a6e71b6-9	A cenzúrázott szöveg üresen maradt helye újságban, folyóiratban.
ablak	NOUN	6070ac2c19cad2110a6e71b6@6070ac2c19cad2110a6e71b6-10	Szabadon hagyott nyílás a kötésen.
ablak	NOUN	6070ac2c19cad2110a6e71b6@6070ac2c19cad2110a6e71b6-11	Szövés közben a hanyag munka miatt keletkezett fonalszakadás nyoma a szövetben.
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-0	Vmely szempontból teljes, a maga nemében tökéletes.
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-1	Egyeduralmi, korlátlan hatalom, uralkodás.
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-2	A relatív, a viszonylagos korrelatív ellentéteként: semmihez sem viszonyított, hanem önmagában tekintett, feltételhez nem kötött, érvényében v. fennállásában független.
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-3	Abszolút létező | a létezés és minden létező végső alapja, abszolútum
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-4	abszolút szellem | az idealista filozófiában: abszolút létező, a világész
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-5	abszolút személyiség | a keresztény teológiában: Isten
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-6	vmely szám abszolút értéke | a számjeggyel jelölt számérték az előjeltől (+ v. –) függetlenül
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-7	abszolút idő és tér | olyan feltételezett (egynemű) idő és tér, amely az anyagtól és ennek mozgásától független(ül létezik), s amelynek törvényszerűségei mindig és mindenütt egyformák, azonosak.
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-8	Abszolút igazság | általában olyan tétel, állítás, amelynek érvénye nem függ más tétel érvényétől a marxista filozófiában: a teljes, helyes, igazolt tudományos ismeret az objektív valóságról.
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-9	Abszolút mozgás | a dialektikus materializmus szerint: az anyagi világban megnyilvánuló örök mozgás, folytonos változás, fejlődés, átalakulás.
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-10	Vmely ismereti területen viszonyító alapként választott.
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-11	Abszolút nullapont | ismeretünk jelenlegi állása szerint: a lehető legalacsonyabb hőmérséklet: –273 °C
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-12	Bizonyos területen v. bizonyos tekintetben a legáltalánosabb érvényű, a legegyetemesebb.
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-13	Abszolút geometria | az euklidészi geometriánál általánosabb érvényű mértani rendszer, amelynek az euklidészi csak egyik sajátos, különleges esete.
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-14	Vmely biztosnak vett v. tudományos megfontolásból származó alaphoz viszonyított.
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-15	Abszolút értéktöbblet | az értéktöbbletnek az a (fő) változata, amely a napi munkaidőnek a szükséges munkaidőn túl való meghosszabbításából eredő többletmunka értékéből adódik
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-16	abszolút hőmérséklet | a létező legalacsonyabb hőmérséklettől (–273 °C) °C-okban számított h.
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-17	abszolút magasság | vmely földrajzi helynek, térbeli pontnak a tenger színétől számított magassága
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-18	abszolút mértékegység(ek) | a cgs-rendszeren alapuló, ill. abból levezetett m.
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-19	abszolút nedvesség | 1 m
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-20	abszolút sebesség | vmely mozgó test föltételezett sebessége az abszolút térhez viszonyítva.
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-21	Vmely természetesen adódó követelményt kielégítő v. vmely meghatározott mértéket elérő; teljes, tökéletes.
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-22	Abszolút alkohol | víztartalomtól a lehetőségig mentes, általában 96–99°-os etilalkohol; tiszta szesz
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-23	abszolút fekete (szín v. test) | olyan, amely minden ráeső fénysugarat elnyel
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-24	abszolút hallás | a zenei hangmagasságnak pusztán füllel, hallás útján való biztos felismerése, ill. vkinek ez a képessége
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-25	abszolút többség | ötven %-nál nagyobb, általános többség
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-26	abszolút szavazattöbbség v. szótöbbség | vkire, vmire eső szavazatoknak olyan száma, mennyisége, amely meghaladja az összes szavazatok felét, tehát nagyobb, mint a többieké együttvéve.
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-27	Abszolút merev test | feltevésként: a teljesen szilárd, összenyomhatatlan test
abszolút	ADJ	6070ac2c19cad2110a6e71e3@6070ac2c19cad2110a6e71e3-28	Abszolút zene | a programzenével szemben olyan z., melynek semmiféle meghatározott gondolati tartalma nincs, csak a zenei elemekkel hat.
absztrakt	ADJ	6070ac2c19cad2110a6e71e9@6070ac2c19cad2110a6e71e9-0	A valóságtól elvonatkoztatott; elszakított, (belőle) elvont; a valóságban nem létező, eszmei, gondolati, általános.
absztrakt	ADJ	6070ac2c19cad2110a6e71e9@6070ac2c19cad2110a6e71e9-1	, kissé Elvontsága miatt nehezen érthető v. felfogható.
absztrakt	ADJ	6070ac2c19cad2110a6e71e9@6070ac2c19cad2110a6e71e9-2	A valóság tárgyias, természetes ábrázolásától eltérő, rendsz. mértani alakzatokat, színfoltokat alkalmazó.
absztrakt	ADJ	6070ac2c19cad2110a6e71e9@6070ac2c19cad2110a6e71e9-3	A valóság elemeinek, tényeinek összefüggéseit szándékosan szétszakító és a nyelvi kifejezés szokásos formáit megbontó irodalmi, költői alkotás, irány.
absztrakt	ADJ	6070ac2c19cad2110a6e71e9@6070ac2c19cad2110a6e71e9-4	Elvont (3) a konkréttal szemben.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-0	Kezével v. kezében tartott tárgy segítségével, rendsz. egy mozdulattal odanyújt vmit vkinek, vkinek a kezébe. Vö.: idead (1), odaad (1)
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-1	Ételt, italt embernek, állatnak v. állat elé odatesz, felszolgál
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-2	Kezem v. ritk. kezünk ügyébe juttat vmit; ételt elém v. ritk. elénk tesz. Vö.: idead (1), odaad (1)
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-3	Ne oda add, hanem ide. Ahol kérnek, oda adj egyet. Kezébe, keze ügyébe ad vkinek vmit; fegyvert ad a kezébe vmi; egyik (ember) a másik kezébe adja a kilincset; vmi kezébe adja a tollat; kézhez ad vmit; kezére ad vkinek vmit; adja a kezére a dolgot; kézről kézre adnak vmit v. vkit; kezet v. parolát ad (vkinek) | kézfogással üdvözöl vkit
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-4	vmire | kézfogással nyomatékosítja vmire tett ígéretét
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-5	Enni ad vkinek v. vmely állatnak; csecset ad a gyereknek; kosztot ad vkinek | élelmez vkit
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-6	Ne ide add, hanem oda. Oda nem adott, ahol nem kértek. Errébb, idébb, közelebb ad | kezével hozzám közelebb juttat, tesz.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-7	Vhova ad vmit | olyan helyre juttat vmely tárgyat, ahol vmely szükséges műveletet elvégeznek rajta v. vele. Vö.: idead (2), odaad (1a).
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-8	Labdát játék közben rúgással, dobással, ütéssel vhova, vkinek juttat
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-9	Vkinek ellenszolgáltatás nélkül a tulajdonába juttat, ajándékoz, adományoz vmit
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-10	Vkinek pénzt, értékes tárgyat ajándékul, adományként kezébe v. tulajdonába juttat, vhova vmely célra felajánl és odaad; adakozik.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-11	Rendelkezésre bocsát vkinek vmit
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-12	Kölcsön(ként) használatra átnyújt, átenged vkinek vmit
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-13	Vmiért cserébe, ellenszolgáltatásul átnyújt, átenged vmit
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-14	Zálogba ad | vmely tárgyat zálogként átnyújt, átenged birtokot elzálogosít.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-15	Elismervényt, nyugtát ad vmiről; váltót ad vmire | váltóval fizet vmiért.
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-16	Pénzért tulajdonába juttat, elad vmit, gyak. vkinek
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-17	Kereskedelmi forgalomban árusít, oszt, kimér vmit
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-18	Vkinek bizonyos pénzösszeget ár fejében v. díjazásul fizet
ad	VERB	6070ac2c19cad2110a6e71fb@6070ac2c19cad2110a6e71fb-19	Vkinek a kezére, vkinek, vminek a hatalmába juttat, és így kiszolgáltat neki vkit, vmit
